NDID,grams_Pro_per_100g,grams_Fat_per_100g,grams_Cho_per_100g,Category_1,Category_2,Category_3,Serving_Size,Store,Package_Amount,Price_per_Package
ND00268,0,0,0,Beverages,Powdered_Mix,Null,1/8 package,SW,4.5,0.29
ND00282,0,0,0,Beverages,Soda,Null,12 fl oz,PB,2000,1.99
ND00283,0,0,0,Beverages,Soda,Null,12 fl oz,PB,2000,1.99
ND00284,0,0,0,Beverages,Soda,Null,12 fl oz,PB,2000,1.99
ND00285,0,0,0,Beverages,Soda,Null,12 fl oz (1 can),PB,4260,4.99
ND00286,0,0,0,Beverages,Soda,Null,8 fl oz,PB,2000,1.99
ND00287,0,0,0,Beverages,Soda,Null,12 fl oz (1 can),PB,2000,1.99
ND00288,0,0,0,Beverages,Soda,Null,12 fl oz,PB,2000,1.99
ND00289,0,0,0,Beverages,Soda,Null,12 fl oz,PB,2000,1.99
ND00290,0,0,0,Beverages,Soda,Null,12 fl oz,PB,2000,1.99
ND00292,0,0,0,Beverages,Soda,Null,1 bottle,SW,2100,3.38
ND00293,0,0,0,Beverages,Soda,Null,12 fl oz.,PB,2000,1.99
ND00294,0,0,0,Beverages,Soda,Null,12 fl oz,SW,2000,1.48
ND00295,0,0,0,Beverages,Soda,Null,12 fl oz,SW,2000,1.48
ND00296,0,0,0,Beverages,Soda,Null,8 fl oz.,PB,2000,0.99
ND00297,0,0,0,Beverages,Soda,Null,8 fl oz.,PB,2000,0.99
ND00298,0,0,0,Beverages,Soda,Null,8 fl oz.,PB,2000,0.99
ND00299,0,0,0,Beverages,Soda,Null,8 fl oz.,PB,2000,0.99
ND00301,0,0,0,Beverages,Soda,Null,8 fl oz.,PB,2000,1
ND00304,0,0,0,Beverages,Soda,Null,12 fl oz.,PB,2000,1.99
ND00305,0,0,0,Beverages,Soda,Null,12 fl oz.,SW,2000,1.38
ND00331,21.42857143,35.71428571,0,Dairy_and_Egg,Cheese,Cheddar,0.25 cup,PB,226,4.29
ND00330,21.42857143,35.71428571,0,Dairy_and_Egg,Cheese,Cheddar,1 oz.(1/8 pkg),PB,226,4.29
ND00343,21.42857143,32.14285714,0,Dairy_and_Egg,Cheese,Colby-Jack,1 oz.,PB,226,4.29
ND00344,21.42857143,32.14285714,0,Dairy_and_Egg,Cheese,Colby-Jack,1 oz.,PB,226,4.29
ND00345,23.80952381,33.33333333,0,Dairy_and_Egg,Cheese,Colby-Jack,1 portion,PB,210,3.79
ND00588,25,21.42857143,0,Dairy_and_Egg,Cheese,Mozzarella,1 stick,PB,340,4.79
ND01902,28.57142857,28.57142857,0,Dairy_and_Egg,Cheese,Other,1 oz,SW,589.67008,11.02
ND01913,28.57142857,28.57142857,0,Dairy_and_Egg,Cheese,Other,1 oz. ,SW,1079.55,13.23
ND01919,28.57142857,32.14285714,0,Dairy_and_Egg,Cheese,Other,1 oz,SW,444.5205,11.25
ND00404,40,30,0,Dairy_and_Egg,Cheese,Parmesan,2 tsp,PB,227,3.79
ND00405,40,30,0,Dairy_and_Egg,Cheese,Parmesan,2 tsp,PB,170,3.89
ND00412,27.77777778,33.33333333,0,Dairy_and_Egg,Cheese,Swiss,1 slice,SW,198,2.47
ND00420,0,40,0,Dairy_and_Egg,Cream,Null,1 tbsp,PB,473,3.59
ND01853,0,71.42857143,0,Fats_and_Oils,Butter,Flavored,1 tbsp,PB,198,2.19
ND01855,0,42.85714286,0,Fats_and_Oils,Butter,Flavored,1 tbsp,PB ,453,N/A
ND00593,0,71.42857143,0,Fats_and_Oils,Butter,Other,1 tbsp,PB,425,3.29
ND01850,0,57.14285714,0,Fats_and_Oils,Butter,Plain,1 tbsp,PB,425,2.57
ND00602,0,85.71428571,0,Fats_and_Oils,Butter,Plain,1 tbsp,PB,227,2.79
ND00616,0,0,0,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Cooking_Spray,.33 sec. spray,WD,170,2.99
ND00617,0,0,0,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Cooking_Spray,1 spray,SW,340,3.78
ND00618,0,0,0,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Cooking_Spray,0.25 sec. spray,WD,141,2.99
ND00619,0,0,0,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Cooking_Spray,.33 sec. spray,WD,141,2.99
ND00615,0,0,0,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Cooking_Spray,.33 sec. spray ,PB,170,2.69
ND00620,0,50,0,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Plain,1 tbsp,WD,425,2.79
ND00630,0,57.14285714,0,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Supplemented,1 tbsp,PB,227,4.89
ND00635,0,64.28571429,0,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Supplemented,1 tbsp,PB,454,2.29
ND00632,0,57.14285714,0,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Supplemented,1 tbsp,PB,340,2.1
ND00634,0,72.72727273,0,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Supplemented,1 tbsp,PB,368,3.35
ND00639,0,69.23076923,0,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Supplemented,1 tbsp,PB,425,3.35
ND00646,0,100,0,Fats_and_Oils,Oil,Canola,1 tbsp,PB,1410,3.99
ND00645,0,100,0,Fats_and_Oils,Oil,Canola,1 tbsp,WM,473,2.98
ND00644,0,100,0,Fats_and_Oils,Oil,Canola,1 tbsp ,PB,3780,9.99
ND00647,0,100,0,Fats_and_Oils,Oil,Canola,1 tbsp,SW,3780,N/A
ND00648,0,100,0,Fats_and_Oils,Oil,Canola,1 tbsp.,PB,946,2.49
ND01914,0,100,0,Fats_and_Oils,Oil,Coconut,1 Tbsp,PB,414,11.79
ND00651,0,100,0,Fats_and_Oils,Oil,Coconut,1 tbsp,PB,887,5.79
ND01920,0,100,0,Fats_and_Oils,Oil,Coconut,1 Tbsp,PB,857,5.99
ND00650,0,100,0,Fats_and_Oils,Oil,Coconut,1 tbsp,WD,414,7.89
ND00656,0,0,0,Fats_and_Oils,Oil,Cooking_Spray,0.25 sec. spray,PB,141,3.19
ND00654,0,0,0,Fats_and_Oils,Oil,Cooking_Spray,.2 sec. spray,PB,141,4.29
ND00657,0,0,0,Fats_and_Oils,Oil,Cooking_Spray,.2 sec. spray,PB,141,4.29
ND00653,0,0,0,Fats_and_Oils,Oil,Cooking_Spray,0.25 sec. spray,PB,170,3.19
ND00655,0,0,0,Fats_and_Oils,Oil,Cooking_Spray,.33 sec. spray,PB,170,2.69
ND00658,0,0,0,Fats_and_Oils,Oil,Cooking_Spray,.33 sec. spray,PB,170,2.69
ND00660,0,100,0,Fats_and_Oils,Oil,Corn,1 tbsp (14g),PB,1420,3.59
ND00661,0,100,0,Fats_and_Oils,Oil,Corn,1 tbsp (14g),PB,473,2.69
ND00662,0,100,0,Fats_and_Oils,Oil,Corn,1 tbsp,PB,1180,3.79
ND00663,0,100,0,Fats_and_Oils,Oil,Corn,1 tbsp,PB,1420,3.15
ND00665,0,93.33333333,0,Fats_and_Oils,Oil,Flax,1 tbsp,WD,946,35.49
ND01862,0,100,0,Fats_and_Oils,Oil,Null,1 Tbsp,WRD,946,7.99
ND00670,0,93.33333333,0,Fats_and_Oils,Oil,Olive,1 tbsp,PB,500,6.99
ND00672,0,93.33333333,0,Fats_and_Oils,Oil,Olive,1 tbsp,PB,500,6.99
ND00671,0,93.33333333,0,Fats_and_Oils,Oil,Olive,1 tbsp,PB,750,10.99
ND00687,0,92,0,Fats_and_Oils,Oil,Olive,1 spoon (15 mL),I,1000,N/A
ND00673,0,93.33333333,0,Fats_and_Oils,Oil,Olive,1tbsp,PB,250,18.79
ND00669,0,93.33333333,0,Fats_and_Oils,Oil,Olive,1 tbsp,PB,500,5.99
ND00668,0,93.33333333,0,Fats_and_Oils,Oil,Olive,1 tbsp,PB,500,6.99
ND00675,0,93.33333333,0,Fats_and_Oils,Oil,Olive,1 tbsp,SW,502,3.96
ND00674,0,93.33333333,0,Fats_and_Oils,Oil,Olive,1 tbsp,SW,502,3.86
ND00688,0,92,0,Fats_and_Oils,Oil,Olive,1 tsp,N/A,1000,N/A
ND00678,0,93.33333333,0,Fats_and_Oils,Oil,Olive,1 tbsp,PB,946,12.99
ND00680,0,93.33333333,0,Fats_and_Oils,Oil,Olive,1 tbsp,PB,946,13.89
ND00681,0,93.33333333,0,Fats_and_Oils,Oil,Olive,1 tbsp,PB,710,4.99
ND00677,0,93.33333333,0,Fats_and_Oils,Oil,Olive,1 tbsp,SW,710,3.98
ND00679,0,93.33333333,0,Fats_and_Oils,Oil,Olive,1 tbsp,PB,710,6.99
ND00683,0,93.33333333,0,Fats_and_Oils,Oil,Olive,1 tbsp,PB,500,3.73
ND00684,0,93.33333333,0,Fats_and_Oils,Oil,Olive,1 tbsp,PB,500,4.79
ND00685,0,93.33333333,0,Fats_and_Oils,Oil,Olive,1 tbsp,PB,500,5.99
ND00686,0,93.33333333,0,Fats_and_Oils,Oil,Olive,1 tbsp,PB,500,5.99
ND00690,0,92,0,Fats_and_Oils,Oil,Other,1 Tbsp,PB,185,4.39
ND00691,0,92,0,Fats_and_Oils,Oil,Other,1 Tbsp,PB,185,4.95
ND00692,0,92.30769231,0,Fats_and_Oils,Oil,Peanut,1 spoon,I,1000,N/A
ND00693,0,100,0,Fats_and_Oils,Oil,Peanut,1 tbsp,PB,946,4.49
ND00694,0,100,0,Fats_and_Oils,Oil,Safflower,1 tbsp,WRD,946,8.19
ND00695,0,100,0,Fats_and_Oils,Oil,Safflower,1 tbsp,PB,946,7.89
ND00697,0,93.33333333,0,Fats_and_Oils,Oil,Sesame,1 tbsp,PB,375,9.65
ND00696,0,100,0,Fats_and_Oils,Oil,Sesame,1 tbsp,PB,207,5.19
ND00698,0,100,0,Fats_and_Oils,Oil,Sesame,1 tbsp,PB,207,5.99
ND00704,0,100,0,Fats_and_Oils,Oil,Vegetable,1 tbsp,SW,473,1.98
ND00705,0,100,0,Fats_and_Oils,Oil,Vegetable,1 tbsp,PB,1180,3.79
ND00706,0,100,0,Fats_and_Oils,Oil,Vegetable,1 tbsp,PB,1890,4.59
ND00708,0,100,0,Fats_and_Oils,Oil,Walnut,1 tbsp,WF,473,6.79
ND00721,0,93.33333333,0,Formulas,Fat,Null,1 tbsp,I,5676,399.99
ND00715,0,21,0,Formulas,Fat,Null,"100mL, one carton is 250 mL",I,4500,price unavailable now (YZ-09/24/2015)
ND00714,0,20,0,Formulas,Fat,Null,one carton is 250 mL,I,250,price unavailable now (YZ-09/24/2015)
ND00745,82,0,0,Formulas,Protein,Null,100,I,1200,612
ND00855,0,0,0,Grains,Baking_Powder_and_Cornstarch,Bakin_Powder,1/8 tsp,SW,230,1.44
ND00854,0,0,0,Grains,Baking_Powder_and_Cornstarch,Bakin_Powder,1/8 tbsp,PB,113,1.49
ND00857,0,0,0,Grains,Baking_Powder_and_Cornstarch,Baking_Soda,1/8 tsp,SW,227,0.5
ND01868,24.41860465,9.302325581,0,Meats,Bacon_and_Sausage,Fresh_Sausage,1 cooked link,PB,566,6.29
ND00979,29.41176471,41.17647059,0,Meats,Bacon_and_Sausage,Pork_Bacon,2 fried slices,SW,454,4.33
ND00963,40,30,0,Meats,Bacon_and_Sausage,Pork_Bacon,2 fried slices,WD,340,4.79
ND00971,33.33333333,37.5,0,Meats,Bacon_and_Sausage,Pork_Bacon,2 pan fried slices,PB,454,8.69
ND00977,33.33333333,40,0,Meats,Bacon_and_Sausage,Pork_Bacon,3 fried slices,SW,340,3.44
ND00989,31.57894737,42.10526316,0,Meats,Bacon_and_Sausage,Pork_Bacon,2 skillet cooked slices,PB,454,7.79
ND00973,11.42857143,11.42857143,0,Meats,Bacon_and_Sausage,Pork_Bacon,1 fried slice,PB,454,5.99
ND00969,36.36363636,36.36363636,0,Meats,Bacon_and_Sausage,Pork_Bacon,1 fried slice,PB,454,5.99
ND01020,12.12121212,36.36363636,0,Meats,Bacon_and_Sausage,Prepared_Sausage,1 patty,PB,198,2.69
ND01031,14.28571429,14.28571429,0,Meats,Bacon_and_Sausage,Turkey_Bacon,1 slice,PB,340,2.99
ND01055,27.97,10.57,0,Meats,Beef,Steak,85g=3 oz / 291g=1 steak,PB,454,8.99
ND01065,21.42857143,5.357142857,0,Meats,Luncheon_Meats,Beef,2 oz. (56 g),I,454,13.49
ND01079,23.21428571,1.785714286,0,Meats,Luncheon_Meats,Chicken,2 oz.,I,454,9.59
ND01127,21.42857143,42.85714286,0,Meats,Luncheon_Meats,Pepperoni,18 slices,PB,141,3.33
ND01128,21.42857143,42.85714286,0,Meats,Luncheon_Meats,Pepperoni,7 slices ,PB,141,3.33
ND01139,21.42857143,35.71428571,0,Meats,Luncheon_Meats,Salami,4 slices (28g),SW,198,3.47
ND01142,14.11764706,17.64705882,0,Meats,Luncheon_Meats,Spam,1 can ,PB ,85,0.55
ND01153,23.21428571,1.785714286,0,Meats,Luncheon_Meats,Turkey,2 oz. = 56 g,I,454,10.69
ND01177,64.28571429,35.71428571,0,Meats,Pork,Null,0.5 oz,PB,92.1,1.99
ND01178,16.07142857,1.785714286,0,Meats,Poultry,Chicken_Breast,2 oz,SW,142,0.98
ND01183,23.21428571,1.785714286,0,Meats,Poultry,Chicken_Breast,4oz raw (3oz cooked),PB,662.2449,9.48
ND01182,20.53571429,2.232142857,0,Meats,Poultry,Chicken_Breast,4 oz,PB,1814,14.29
ND01196,16.9,12.54,0,Meats,Poultry,Ground_Turkey,"85g=1 patty,  (cooked from 4 oz raw) / 28.35g=1 oz",SW,566.990462,3.94
ND01197,16.96428571,15.17857143,0,Meats,Poultry,Ground_Turkey,4 oz,SW,454,2.96
ND01201,17.85714286,4.464285714,0,Meats,Poultry,Other,2 oz (56 g),PB,354,3
ND01202,23.21428571,1.785714286,0,Meats,Poultry,Other,2 oz,SW,354,2.78
ND01200,19.64285714,1.785714286,0,Meats,Poultry,Other,2 oz,SW,280,2.78
ND01295,0,85.71428571,0,Sauces_Soups_Condiments_Dressing,Condiments,Mayonnaise,1 Tbsp,SW,473,2.62
ND01298,0,76.92307692,0,Sauces_Soups_Condiments_Dressing,Condiments,Mayonnaise,1 Tbsp,SW,443,3.47
ND01299,0,76.92307692,0,Sauces_Soups_Condiments_Dressing,Condiments,Mayonnaise,1 Tbsp,SW,354,2.58
ND01303,0,0,0,Sauces_Soups_Condiments_Dressing,Condiments,Mustard,1 tsp,SW,226,1.24
ND01307,0,0,0,Sauces_Soups_Condiments_Dressing,Condiments,Mustard,1 tsp,PB,227,0.89
ND01312,0,0,0,Sauces_Soups_Condiments_Dressing,Dressings,Apple_Cider_Vinegar,1 tbsp,PB,473,1.59
ND01313,0,0,0,Sauces_Soups_Condiments_Dressing,Dressings,Apple_Cider_Vinegar,1 tbsp,WM,946,4.24
ND01314,0,0,0,Sauces_Soups_Condiments_Dressing,Dressings,Apple_Cider_Vinegar,1 tbsp,PB,946,1.75
ND01315,0,0,0,Sauces_Soups_Condiments_Dressing,Dressings,Apple_Cider_Vinegar,1 tbsp,SW,946,1.84
ND01329,0,58.62068966,0,Sauces_Soups_Condiments_Dressing,Dressings,Italian,2 Tbsp,SW,473,2.36
ND01355,0,0,0,Sauces_Soups_Condiments_Dressing,Dressings,White,1 tbsp,PB,946,1.39
ND01424,20,10,0,Seafood,Finfish,Other,6 fillets,PB,56.7,1.99
ND01432,21.42857143,2.678571429,0,Seafood,Finfish,Salmon,about 0.25 cup drained (2oz),PB,142,1.85
ND01428,19.04761905,7.936507937,0,Seafood,Finfish,Salmon,0.25 cup,PB,418,2.79
ND01447,22.53521127,1.408450704,0,Seafood,Finfish,Tuna,1 pouch,PB,71,1.19
ND01451,23.21428571,1.785714286,0,Seafood,Finfish,Tuna,0.25 cup drained,PB,142,1.43
ND01452,21.42857143,12.5,0,Seafood,Finfish,Tuna,2 oz. or 0.25 cup,PB,181,2.99
ND01448,22.97297297,0.675675676,0,Seafood,Finfish,Tuna,1 pouch,PB,74,1.49
ND01444,21.42857143,0.892857143,0,Seafood,Finfish,Tuna,0.25 cup drained,PB,142,1.67
ND01456,16.07142857,0.892857143,0,Seafood,Shellfish,Crab,0.25 cup drained,PB,170,5.39
ND01466,0,0,0,Spices_and_Herbs,Seasonings,Null,1 tsp. ,PB,118,1.99
ND01467,0,0,0,Spices_and_Herbs,Seasonings,Null,1 g,SW,227,4.68
ND01468,0,0,0,Spices_and_Herbs,Seasonings,Null,0.25 packet,PB,40,1.19
ND01470,0,0,0,Spices_and_Herbs,Seasonings,Null,0.25 tsp,PB,170,2.45
ND01471,0,0,0,Spices_and_Herbs,Seasonings,Null,0.25 tsp,SW,191,6.28
ND01817,0,0,0,Spices_and_Herbs,Seasonings,Null,0.25 tsp,SW,70,2.38
ND01829,0,0,0,Supplement,Minerals,Null,2 tablets,SW,120,5.44
ND01832,0,0,0,Supplement,Minerals,Null,0.25 teaspoon,SW,311,1.48
ND01833,0,0,0,Supplement,Minerals,Null,0.25 teaspoon,SW,88.6,2.18
ND01836,0,0,0,Supplement,Minerals,Null,0.25 teaspoon,SW,737,0.86
ND01825,0,0,0,Supplement,Minerals,Null,1 packet,I,N/A,54.95
ND01830,0,0,0,Supplement,Multivitamins,Null,1 tablet (4 years and over),SW,150,7.98
ND01507,0,100,0,Supplement,Omegas,Null,2 softgels,LK,250,26.99
ND01826,0,0,0,Supplement,Omegas,Null,2 softgels,CVS,1.2,27.99
ND01552,111.1111111,0,0,Sweets,Gelatin,Null,0.25 envelope,SW,226,9.98
ND01532,0,0,0,Sweets,Gelatin,Null,1/8 tsp,PB,49,2.99
ND01533,0,0,0,Sweets,Gelatin,Null,1/8 tsp,PB,49,3.99
ND01589,0,0,0,Sweets,Sweeteners,Null,1/8 tsp,PB,127,4.69
ND01593,0,0,0,Sweets,Sweeteners,Null,1 tsp,SW,113,2.78
ND01597,0,0,0,Sweets,Sweeteners,Null,10 drops ,WD,236,2.49
ND01607,0,0,0,Sweets,Syrups_and_Toppings,Null,2 Tbsp,PB,355,3.09
ND01195,19.64285714,7.142857143,3.55E-15,Meats,Poultry,Ground_Turkey,4 oz.,PB,590,5.79
ND00589,28.57142857,19.04761905,7.11E-15,Dairy_and_Egg,Cheese,Mozzarella,1 stick,PB,255,4.79
ND00966,42.85714286,28.57142857,7.11E-15,Meats,Bacon_and_Sausage,Pork_Bacon,2 slices,PB,71,4.29
ND01898,25,28.57142857,1.42E-14,Dairy_and_Egg,Cheese,Other,1 inch cube ,SW,635.029,6.97
ND00716,0,52.30125523,1.42E-14,Formulas,Fat,Null,1 Tbsp,I,4257.6,156.99
ND00991,28.57142857,42.85714286,1.42E-14,Meats,Bacon_and_Sausage,Pork_Bacon,2 skillet cooked slices,PB,454,6.99
ND00659,0,92.30769231,2.84E-14,Fats_and_Oils,Oil,Corn,1 spoon ,I,1000,N/A
ND00701,0,92.30769231,2.84E-14,Fats_and_Oils,Oil,Sunflower,1 spoon,I,1000,N/A
ND00702,0,92.30769231,2.84E-14,Fats_and_Oils,Oil,Sunflower,1 spoon,I,1000,N/A
ND01198,27.1,11.6,0.05,Meats,Poultry,Ground_Turkey,85g=3 oz / g=,I,454,3.51
ND00742,4,7.2,0.07,Formulas,Protein,Null,100 mL unreconsituted,I,4608,56.53
ND01439,20.08,1.7,0.095,Seafood,Finfish,Tilapia,116g=1 fillet / g=,PB,454,6.99
ND01199,25.11,17.45,0.1275,Meats,Poultry,Ground_Turkey,85g=3 oz / g=,SW,566.990462,3.94
ND01170,26.18,8.28,0.19,Meats,Pork,Null,3oz=85g,PB,454,3.59
ND01001,17.54385965,9.649122807,0.219298246,Meats,Bacon_and_Sausage,Prepared_Sausage,2 patties,PB,226.79,3.49
ND01085,16.07142857,2.678571429,0.223214286,Meats,Luncheon_Meats,Ham,2 oz,WD,255,5.29
ND01082,16.07142857,2.678571429,0.223214286,Meats,Luncheon_Meats,Ham,2 oz.,PB,252,4.49
ND01084,16.07142857,2.678571429,0.223214286,Meats,Luncheon_Meats,Ham,2 oz,PB,255,4.49
ND01193,19.64285714,8.035714286,0.223214286,Meats,Poultry,Ground_Chicken,4oz (raw),PB,454,3.99
ND01203,25,2.678571429,0.223214286,Meats,Poultry,Other,2 oz (56 g),PB,198,3
ND00291,0,0,0.277777778,Beverages,Soda,Null,12 fl oz,PB,2000,1.99
ND00309,0,0,0.277777778,Beverages,Sports_Drinks,Null,12 fl oz,SW,946,0.68
ND00308,0,0,0.277777778,Beverages,Sports_Drinks,Null,12 fl oz.,PB,946,1.25
ND00310,0,0,0.277777778,Beverages,Sports_Drinks,Null,12 fl oz,WD,946,1.39
ND00311,0,0,0.277777778,Beverages,Sports_Drinks,Null,12 fl oz. (360mL),SW,946,0.68
ND01425,23.80952381,1.19047619,0.297619048,Seafood,Finfish,Other,about 3/4 loin cooked (3 oz),PB,283,7.99
ND01436,20.23809524,10.71428571,0.297619048,Seafood,Finfish,Sardine,1 can drained,PB,106,1.29
ND01871,0,0,0.37037037,Supplement,Multivitamins,Null,1 scoop of powder,I,275,49.95
ND01404,0.416666667,0.208333333,0.416666667,Sauces_Soups_Condiments_Dressing,Soups,Null,1 cup,PB,907,2.87
ND01171,25.48,8.48,0.44,Meats,Pork,Null,3oz=85g ,PB,454,3.59
ND01917,25,12.5,0.446428571,Meats,Luncheon_Meats,Beef,0.25 cup,PB,340,5.49
ND01459,26.78571429,1.785714286,0.446428571,Seafood,Shellfish,Shrimp,0.25 cup drained,PB,113,2.99
ND00434,12,10,0.5,Dairy_and_Egg,Egg,Fresh,1 egg,PB,600,3.65
ND00435,12,10,0.5,Dairy_and_Egg,Egg,Fresh,1 egg,PB,600,2.5
ND00432,12,10,0.5,Dairy_and_Egg,Egg,Fresh,1 egg,PB,600,4.99
ND00431,12,10,0.5,Dairy_and_Egg,Egg,Fresh,1 egg,PB,680,4.69
ND00433,12,10,0.5,Dairy_and_Egg,Egg,Fresh,1 large egg (50 g),SW,600,3.17
ND00613,0,100,0.5,Fats_and_Oils,Fat_Other,Lard,12g=1 tbsp / 205g=1 cup,I,453,2.29
ND00442,11,0,0.6,Dairy_and_Egg,Egg,Liquid,100 g,I,N/A,N/A
ND01043,18.75,15.17857143,0.669642857,Meats,Beef,Ground,4 oz (112g),PB,612.6,8.09
ND01047,17.85714286,20.53571429,0.669642857,Meats,Beef,Ground,4 oz.,WD,494,5.44
ND01450,28.57142857,0.892857143,0.669642857,Seafood,Finfish,Tuna,about 0.25 cup drained,PB,142,2.19
ND01443,19.64285714,0.892857143,0.669642857,Seafood,Finfish,Tuna,0.25 cup drained (2oz),PB,340,3
ND01441,19.64285714,0.892857143,0.669642857,Seafood,Finfish,Tuna,about 0.25 cup,PB,340,2.99
ND01410,0.833333333,0,0.729166667,Sauces_Soups_Condiments_Dressing,Soups,Null,1 cup ,PB,907,2.87
ND01458,25,1.785714286,0.744047619,Seafood,Shellfish,Shrimp,about 5 shrimp,PB,680,23.99
ND00230,0,0,0.833333333,Beverages,Juice,Craberry Juice,1 cup,PB,1890,3.79
ND01401,0,1.666666667,0.833333333,Sauces_Soups_Condiments_Dressing,Soups,Null,0.5 cup,PB,298,1.75
ND01915,25,32.14285714,0.892857143,Dairy_and_Egg,Cheese,Cheddar,1 oz. (1 inch cube),SW,821.002,12.63
ND00332,25,32.14285714,0.892857143,Dairy_and_Egg,Cheese,Cheddar,1 oz,PB,226,5.69
ND00337,25,32.14285714,0.892857143,Dairy_and_Egg,Cheese,Cheddar,0.25 cup,WD,227,3.59
ND00338,25,32.14285714,0.892857143,Dairy_and_Egg,Cheese,Cheddar,0.25 cup,WD,227,3.59
ND00349,25,32.14285714,0.892857143,Dairy_and_Egg,Cheese,Colby-Jack,3 slices,PB,141,4.29
ND00400,25,32.14285714,0.892857143,Dairy_and_Egg,Cheese,Other,1 oz. (about 1 cube),PB,198,6.29
ND01181,22.32142857,0.892857143,0.892857143,Meats,Poultry,Chicken_Breast,4 oz raw,WD,471.7361,4.67
ND01440,17.85714286,8.035714286,0.892857143,Seafood,Finfish,Tuna,about 0.25 cup,PB,142,0.95
ND01212,22.64,1.93,1.0175,Meats,Poultry,Turkey_meat,"1 bird = 5,002g",PB,454,3.49
ND00242,0,0,1.041666667,Beverages,Juice,Mixed Juice,8 fl oz,PB,3780,2.39
ND01184,19.64285714,2.678571429,1.116071429,Meats,Poultry,Chicken_Breast,4oz raw (3oz cooked),PB,907,8.99
ND01420,15.23,5.94,1.155,Seafood,Finfish,Catfish,85g=3 oz / 159g=1 fillet,PB,454,7.99
ND00943,19.76744186,20.93023256,1.162790698,Meats,Bacon_and_Sausage,Fresh_Sausage,1 cooked link,PB,566,5.99
ND01435,17.64705882,25.88235294,1.176470588,Seafood,Finfish,Sardine,1 can drained,PB,106,3.09
ND01187,25,2.380952381,1.19047619,Meats,Poultry,Chicken_Breast,3 oz. ,PB,226,3.09
ND00373,20,35,1.25,Dairy_and_Egg,Cheese,Havarti,1 slice,PB,198,3.49
ND01056,19.61,18.16,1.28,Meats,Beef,Steak,85g=3 oz / 164g=1 steak,PB,454,81.07
